VH,VV,year
-23.895037758964573,-13.971399497627326,2016
-22.767833212080692,-13.454458155668412,2017
-25.058771577732358,-13.649628476946052,2018
-24.062451197057058,-13.57619397608499,2019
-23.45523305739047,-13.260384981350265,2020
-23.479767332095996,-13.368280676899856,2021
-22.687207168954018,-13.120289703063786,2022
-23.799041666677788,-13.32981298577678,2023
-23.911468215541838,-13.362894188719684,2024
-23.854820292190087,-13.31321436819423,2025
