VH,VV,year
-21.952885865765516,-15.142817865970956,2016
-20.045628280712997,-12.20914507408513,2017
-21.380507958708836,-12.616543094457459,2018
-21.015001967282398,-12.408877515826163,2019
-21.026766691486827,-12.299955171820471,2020
-20.86534131759899,-12.293254204839737,2021
-20.428859110478896,-12.213634259479912,2022
-20.836061905304053,-12.395792207084488,2023
-20.716511271679565,-12.353555087205349,2024
-20.793535431171666,-12.269988119548573,2025
