evi,nbr,ndmi,ndvi,ndwi,year,restoration_event
0.129846499633426,0.03755191354229497,-0.10347431777428938,0.23428990682562043,-0.3180373017316013,1985,
0.12086218721317778,0.028552803662380853,-0.09929391224144268,0.20517138717327815,-0.27452667226948985,1986,
0.12411044997268557,-0.007260434160117398,-0.11917354592695163,0.2164014030602349,-0.27292193224648564,1987,
0.12080619898163932,0.0005134454361685846,-0.11127627347467718,0.22070011346150262,-0.29421236730068967,1988,
0.12534996397384465,0.049488434086002314,-0.07747592687631202,0.23124754067126632,-0.3107886841912116,1989,
0.1028386484838879,-0.03018148697813008,-0.13848760240263125,0.21139057339147455,-0.2831077276937927,1990,
0.11498462115667102,-0.0007070489220479806,-0.10136888210694742,0.22545351242084652,-0.2941708925986432,1991,
0.09331395003672727,-0.027025878010220074,-0.13495372882383858,0.18530321301729663,-0.2575913808294519,1992,
0.13068825668798376,0.03522977120198431,-0.07702324822213015,0.2542710767583291,-0.3210925332607514,1993,
0.1144983141549611,0.0023921346216184023,-0.107444020580025,0.21258142914877617,-0.2851377556379535,1994,
0.12278363910614948,0.05087327988314001,-0.07655918479460408,0.24749379390842446,-0.3197526431874554,1995,
0.12792333035069336,0.012479528413279579,-0.10629921317843825,0.2508356011591032,-0.3367975384463241,1996,
0.12002981838178306,-0.008777760117583192,-0.11560638826359271,0.22852744465452546,-0.2947236050964856,1997,
0.1231335722215438,0.025294597586544395,-0.10012835540234448,0.2362635969554522,-0.30822864926974186,1998,
0.11873728907555123,0.006785610884687305,-0.11150374525440955,0.2247574619131884,-0.3102205417506604,1999,
0.11040253792170006,-0.02078231136777693,-0.12185981497304155,0.21090058831116215,-0.30420945641511776,2000,
0.11309535531968382,-0.02725088295323649,-0.13633691027388156,0.21308363665922628,-0.2943479632917194,2001,
0.10972588377386895,-0.011756300293602836,-0.11705688828936534,0.20813358026666853,-0.2938640820022639,2002,
0.11730831784385573,0.012353144123508153,-0.09936409372115103,0.21716522557308252,-0.29925896117440315,2003,
0.1314406334575066,0.018959741105420296,-0.08996390355193404,0.2398193801574583,-0.31248614099716465,2004,
0.12806955787052335,0.038653977495321304,-0.08890831190392885,0.2455500527826623,-0.336621100044701,2005,
0.13246206094591892,0.033329526690929215,-0.09260285461392613,0.2511935771974368,-0.33648776562728266,2006,
0.12113911245597006,0.015291740218594824,-0.10843874563674348,0.2277611254861479,-0.31721027790736744,2007,
0.12911359632904965,0.0187185609673615,-0.10219651006022033,0.23926613719161885,-0.3271319338365935,2008,
0.1236510515947009,0.006533595031896365,-0.10997977620726668,0.23816134559634952,-0.31514043785379153,2009,
0.12989918773388642,0.03896134312828874,-0.0893607462847691,0.24585843464061805,-0.32767729354670694,2010,
0.13872774769207316,0.0664414835709423,-0.07426385680436744,0.26594752416886563,-0.3501168796193339,2011,
0.11579457352072325,0.012571988591497751,-0.11279508122521839,0.2221346864741946,-0.3130416739434846,2012,
0.14332978036098226,0.016308928307283237,-0.09466879988159806,0.2742984238487957,-0.34711095226271504,2013,
0.133120081851068,0.02977241657080752,-0.0942324499497083,0.2681350634685432,-0.3607088517633163,2014,
0.13320107558873884,0.006533480049678788,-0.1117518565595061,0.2652942564130209,-0.3491112956973136,2015,
0.14542300029214023,0.03729464963752493,-0.0882247789159577,0.2729945557281033,-0.36081390025046434,2016,
0.15409377860062887,0.07659898660047715,-0.06952174634358994,0.29323766093863757,-0.3858451187972187,2017,
0.1394836736521374,0.02554676302931068,-0.09901810866691052,0.26610257005900895,-0.3561928068966284,2018,
0.15300623937658622,0.051915356389649454,-0.08156189461724216,0.3008730015569876,-0.3770571935891943,2019,
0.13104810903531977,0.007488721389264377,-0.1177011013061809,0.26067830218241533,-0.34873450701617326,2020,
0.12708685982428733,0.021078239460309064,-0.09722288773076675,0.24827832536333283,-0.3214432302902351,2021,
0.13808748817132674,0.015590538064887895,-0.1024413083108376,0.27157320059611806,-0.36056623408640553,2022,
0.1534409484976054,0.054304132326509796,-0.07342571854190058,0.29746928490801855,-0.37967908462897904,2023,
0.13960288547919542,0.0532150751005299,-0.08643574678933179,0.28066509797216005,-0.3702460846990275,2024,
0.15274684069163136,0.06284894807824722,-0.0716696650266588,0.29407361511419944,-0.37124699139669215,2025,
